id;new_business;age;number_of_contracts;property;life;health;premium_customer;premium_household;sales_channel;new_business_py;self_employed;gender_male
102;0;42;6;1;1;1;3238.05;3238.05;tied_agend;none;0;1
103;0;47;1;0;1;0;70;178.05;other;none;0;1
104;1;49;1;1;0;0;0.67;862.19;tied_agend;none;0;1
105;1;64;4;1;0;1;1695.86;1695.86;tied_agend;lh;0;0
106;1;53;1;1;0;0;406.09;648.54;other;none;0;1
107;0;46;2;0;1;0;786.96;4432.35;tied_agend;none;0;0
108;1;65;1;0;1;0;466.85;466.85;tied_agend;lh;1;0
109;1;56;2;1;0;0;722.88;1403.32;tied_agend;none;0;1
110;1;46;1;1;0;0;32.34;3416.26;tied_agend;none;0;1
111;0;42;1;1;0;0;297.3;1500.69;tied_agend;none;0;1
112;1;63;3;1;1;1;1097.16;1097.16;tied_agend;none;1;0
113;0;44;2;1;0;0;695.87;695.87;tied_agend;none;0;0
114;0;64;4;1;1;0;3519.62;5040.62;multiple;none;1;1
115;0;40;1;0;0;1;3191.21;3191.21;other;none;0;1
116;1;54;2;1;0;0;4071.97;4071.97;tied_agend;none;0;1
117;0;52;2;1;1;0;2961.37;2961.37;broker;none;0;0
118;1;62;1;1;0;0;591.64;591.64;tied_agend;p;1;0
119;0;68;2;1;0;0;355.16;355.16;broker;none;1;0
120;0;59;1;1;0;0;102.2;2719.63;tied_agend;none;1;0
121;0;48;1;0;0;1;4.02;4.02;tied_agend;none;0;1
122;0;34;1;1;0;0;109.35;109.35;tied_agend;none;0;1
123;0;45;2;1;0;0;221.11;420.2;tied_agend;none;0;1
124;0;58;5;1;0;0;1390.57;1457.02;tied_agend;none;0;1
125;1;53;3;1;0;0;1298.98;1846.22;tied_agend;none;0;1
126;0;58;5;1;1;0;1410.63;1794.63;tied_agend;none;0;1
127;0;50;5;1;0;0;3894.32;4088.15;tied_agend;p;0;1
128;0;39;1;1;0;0;387.73;1616.94;tied_agend;none;0;0
129;0;62;6;1;0;0;3402.78;6895.32;tied_agend;none;0;1
130;0;40;3;1;1;0;1226.45;1226.45;tied_agend;none;0;0
131;0;65;4;1;0;0;1410.51;3446.4;tied_agend;p;0;1
132;0;50;5;1;1;1;1213.96;1213.96;tied_agend;none;1;1
133;0;34;3;1;0;0;763.34;763.34;tied_agend;none;1;0
134;0;34;1;1;0;0;413.79;413.79;other;none;0;0
135;0;61;6;1;1;0;1968.06;1968.06;broker;none;1;0
136;0;53;1;0;0;1;107.94;107.94;bank;none;0;0
137;0;65;1;0;1;0;35.76;127.79;broker;none;1;1
138;0;32;1;1;0;0;469.93;469.93;other;none;0;1
139;1;36;1;1;0;0;808.15;4435.57;tied_agend;p;0;1
140;0;66;1;1;0;0;946.99;946.99;other;p;0;0
141;0;37;3;0;1;1;2642.75;2642.75;tied_agend;none;0;0
142;1;39;1;0;0;1;184.87;978.34;tied_agend;none;0;1
143;1;58;1;1;0;0;56.27;750.51;tied_agend;none;1;0
144;0;55;6;1;0;0;3303.57;6248.78;tied_agend;none;0;1
145;0;58;1;0;0;1;292.11;292.11;other;lh;1;0
146;1;47;1;1;0;0;32.47;32.47;tied_agend;none;1;0
147;0;38;1;0;1;0;1319.49;1319.49;tied_agend;none;0;1
148;0;48;1;1;0;0;171.06;171.06;tied_agend;none;0;0
149;0;54;1;1;0;0;489.24;489.24;other;none;1;0
150;0;47;7;1;1;1;5624.29;5624.29;tied_agend;none;0;1
151;0;52;1;1;0;0;414.03;414.03;other;none;1;0
152;0;61;1;1;0;0;340.03;647.24;other;none;0;0
153;0;58;1;1;0;0;1048.55;1272.31;tied_agend;none;0;1
154;0;46;1;0;0;1;110.37;110.37;tied_agend;none;0;0
155;1;57;5;1;0;0;494.6;494.6;tied_agend;p;0;1
156;0;40;1;0;0;1;35.39;35.39;bank;none;0;0
157;0;65;3;1;0;1;433.47;433.47;multiple;none;0;1
158;0;43;1;1;0;0;618.87;618.87;other;none;1;0
159;0;49;2;0;0;1;7972.14;7972.14;tied_agend;none;1;0
160;0;49;4;1;0;0;799.49;1864.85;tied_agend;none;0;0
161;0;50;1;0;1;0;17157.35;24897.25;tied_agend;none;0;0
162;0;35;6;1;1;1;1219;1219;tied_agend;none;1;0
163;1;45;1;1;0;0;143.68;1101.59;tied_agend;none;0;1
164;1;58;1;1;0;0;46.02;46.02;tied_agend;none;0;1
165;0;68;1;1;0;0;118.03;118.03;tied_agend;none;0;0
166;1;65;2;1;0;0;389.6;522.97;tied_agend;none;0;1
167;1;33;6;1;1;0;2284.4;2441.66;tied_agend;lh;0;0
168;0;53;1;0;1;0;9.07;3631.43;tied_agend;none;0;0
169;0;67;2;1;0;0;261.74;261.74;tied_agend;none;0;0
170;0;54;1;0;1;0;1706.14;1706.14;other;none;0;0
171;0;34;1;0;0;1;1631.38;1631.38;tied_agend;none;0;0
172;0;67;1;0;1;0;10.65;1392.56;broker;none;0;1
173;0;33;3;1;0;0;1144.41;1636.24;tied_agend;p;0;1
174;1;30;1;0;1;0;195.32;195.32;broker;none;0;0
175;0;57;1;1;0;0;436.15;2691.38;tied_agend;none;0;0
176;0;31;1;0;1;0;2355.58;2355.58;other;none;0;0
177;1;46;3;1;0;0;542.07;542.07;tied_agend;none;1;0
178;1;39;2;0;1;0;2112.85;4439.86;tied_agend;none;0;1
179;0;50;5;1;1;0;1279.95;3679.7;tied_agend;none;0;0
180;0;33;1;0;0;1;32.09;32.09;other;none;0;0
181;0;60;1;1;0;0;560.22;1373.66;bank;none;0;1
182;0;31;1;0;0;1;50.3;138.43;broker;none;1;1
183;0;50;1;0;1;0;2074.39;2074.39;tied_agend;none;0;1
184;0;50;1;1;0;0;578.28;578.28;other;p;1;1
185;0;59;1;0;1;0;1344.14;1600.84;broker;none;0;1
186;1;32;2;1;0;0;12.28;850.78;tied_agend;none;1;0
187;0;58;3;1;0;0;790.4;790.4;tied_agend;none;0;1
188;0;53;2;0;1;1;262.91;262.91;other;none;0;0
189;1;69;3;1;0;0;1252.6;1589.92;tied_agend;none;1;1
190;0;47;1;1;0;0;345.99;345.99;tied_agend;none;0;1
191;0;37;1;1;0;0;176.18;176.18;other;none;0;1
192;0;58;1;0;1;0;54.34;54.34;tied_agend;none;1;0
193;0;51;1;0;1;0;239.93;239.93;tied_agend;none;0;0
194;1;66;4;1;0;0;631.18;3385.95;tied_agend;none;1;1
195;0;49;1;1;0;0;300.83;300.83;bank;none;0;0
196;0;67;1;0;1;0;48.2;48.2;tied_agend;none;0;1
197;0;31;1;0;1;0;127.95;912.22;other;none;0;0
198;0;58;1;0;1;0;2028.11;2979.69;tied_agend;none;1;0
199;0;61;2;1;1;0;1137.74;1631.73;tied_agend;none;0;0
200;0;33;1;0;1;0;1424.46;1493.49;bank;none;0;0
201;0;51;1;0;0;1;103.89;103.89;bank;none;0;0
202;0;55;2;1;1;0;544.27;544.27;tied_agend;none;1;1
203;0;30;1;0;0;1;170.86;170.86;bank;none;0;0
204;0;64;1;0;0;1;3420.99;3420.99;bank;none;0;0
205;0;34;1;0;0;1;2.7;2.7;bank;none;1;1
206;0;57;5;1;0;0;908.92;942.05;tied_agend;none;1;0
207;0;32;1;1;0;0;962.75;962.75;other;p;0;0
208;0;36;1;0;1;0;789.1;789.1;broker;none;0;1
209;1;48;6;1;1;1;3212.54;3446.88;multiple;none;0;1
210;0;51;1;1;0;0;507.31;507.56;other;none;0;1
211;0;48;1;1;0;0;98.74;98.74;broker;none;0;0
212;0;36;1;0;1;0;3789.93;3789.93;tied_agend;none;1;0
213;0;53;1;0;0;1;8159.88;8159.88;bank;none;0;1
214;0;67;1;0;1;0;167.81;167.81;broker;none;0;0
215;0;69;1;0;0;1;3222.2;3222.2;tied_agend;none;0;1
216;1;45;8;1;1;1;3970.54;6018.2;tied_agend;none;0;1
217;0;53;1;0;1;0;603.95;2214.51;other;none;0;0
218;0;51;4;1;1;0;2278.32;2278.32;multiple;none;0;0
219;0;46;1;0;0;1;40.89;40.89;tied_agend;none;0;1
220;1;47;1;0;0;1;79.28;79.28;tied_agend;none;1;0
221;0;56;1;1;0;0;265.43;265.43;tied_agend;none;1;1
222;0;31;1;0;1;0;485.16;485.16;tied_agend;none;1;1
223;0;64;1;1;0;0;779.58;3916.88;tied_agend;none;0;1
224;0;40;1;1;0;0;648.72;3316.1;tied_agend;none;0;0
225;1;70;2;1;0;0;1052.33;1052.33;tied_agend;p;0;1
226;0;39;1;1;0;0;234.15;234.15;bank;none;0;0
227;0;69;1;1;0;0;94.43;94.43;tied_agend;none;0;1
228;0;34;1;0;1;0;1211.66;1211.66;broker;none;1;1
229;0;61;2;1;0;0;428.89;428.89;tied_agend;none;0;1
230;0;51;4;1;1;0;1105.34;1105.34;tied_agend;none;1;0
231;0;62;2;1;0;0;563.35;922.5;tied_agend;none;1;0
232;0;35;2;0;1;1;1027.18;1027.18;multiple;none;1;0
233;0;53;1;0;1;0;1452.23;1452.23;tied_agend;none;1;0
234;0;52;4;1;1;0;2230.41;2230.41;tied_agend;none;0;0
235;0;70;1;0;0;1;721.04;721.04;bank;none;0;0
236;0;49;1;0;1;0;3365.08;3365.08;bank;none;0;0
237;0;45;2;0;1;1;11451.94;11451.94;tied_agend;none;1;1
238;1;33;7;1;1;1;2132.18;2879.99;tied_agend;p;0;1
239;0;36;1;0;1;0;833.06;833.06;tied_agend;none;0;0
240;1;62;5;1;0;0;946.66;946.66;tied_agend;p;1;0
241;0;32;1;1;0;0;98.25;98.25;tied_agend;p;0;1
242;0;46;1;1;0;0;525.86;525.86;bank;none;1;1
243;0;61;2;1;0;0;561.27;1407.34;tied_agend;none;1;0
244;0;53;1;1;0;0;15.29;15.29;bank;none;1;0
245;0;66;3;1;0;0;815.8;815.8;tied_agend;none;0;0
246;1;61;1;1;0;0;811.41;4997.56;tied_agend;none;0;1
247;0;53;1;0;1;0;4179.64;4179.64;bank;none;0;1
248;0;36;3;1;0;0;477.41;2894.77;tied_agend;none;0;1
249;0;42;2;0;1;0;1977.1;1977.1;multiple;none;0;0
250;0;38;2;1;1;0;1075.21;1075.21;tied_agend;none;0;0
251;1;59;4;1;0;1;2202.66;2632.04;tied_agend;none;0;1
252;0;67;5;1;0;1;2626.26;10085.22;tied_agend;none;0;0
253;0;50;2;0;1;0;706.63;4371.66;broker;none;0;0
254;0;59;1;0;0;1;9901.48;9901.48;tied_agend;none;0;1
255;1;54;4;1;0;0;435.5;435.5;tied_agend;p;1;0
256;0;55;1;0;0;1;498.19;498.19;tied_agend;none;0;0
257;1;59;4;1;0;0;1596.49;1596.49;tied_agend;none;0;1
258;0;67;1;0;0;1;3540.78;3540.78;tied_agend;none;0;0
259;1;45;1;1;0;0;440.28;440.28;tied_agend;none;0;0
260;0;34;1;0;0;1;3668.26;6248.38;bank;none;0;1
261;1;30;9;1;1;1;17359.14;17359.14;tied_agend;lh;0;0
262;0;50;1;0;1;0;113.1;113.1;other;none;0;0
263;0;52;1;0;1;0;1186.48;1186.48;broker;none;0;0
264;0;49;1;0;0;1;4107.72;4107.72;tied_agend;none;1;0
265;0;47;2;1;1;0;564.63;564.63;tied_agend;none;0;0
266;1;54;5;1;1;0;2731.68;4044.24;multiple;none;1;1
267;1;46;2;1;0;0;163.15;163.15;tied_agend;none;0;1
268;0;58;1;1;0;0;125.86;2297.32;tied_agend;none;0;1
269;0;59;1;1;0;0;1061.19;1061.19;tied_agend;none;1;1
270;0;60;2;1;1;0;1550.05;3706.7;multiple;none;0;0
271;0;44;2;1;1;0;1797.37;1797.37;tied_agend;none;0;0
272;0;38;1;1;0;0;79.27;79.27;tied_agend;none;0;0
273;1;58;5;1;0;0;2789.77;3022.44;tied_agend;none;0;1
274;0;70;1;1;0;0;151.37;151.37;tied_agend;none;0;1
275;0;62;1;0;0;1;8751.51;8751.51;bank;none;1;0
276;1;50;1;1;0;0;568.78;2732.81;tied_agend;none;0;1
277;0;54;3;1;1;0;2586.84;2586.84;tied_agend;none;0;1
278;0;53;2;0;1;1;1426.85;1426.85;tied_agend;none;0;0
279;0;33;1;0;0;1;448.36;448.36;tied_agend;none;0;0
280;0;60;2;0;0;1;2565.51;2565.51;tied_agend;none;0;0
281;1;47;1;1;0;0;71.03;71.03;tied_agend;none;1;1
282;1;59;5;1;0;0;1453.54;1453.54;tied_agend;none;0;1
283;0;57;8;1;0;1;4074.79;4074.79;tied_agend;none;0;0
284;0;49;2;1;0;1;8391.08;8391.08;tied_agend;none;0;1
285;0;68;1;0;0;1;5979.61;5979.61;tied_agend;none;1;1
286;0;38;3;1;0;0;281.84;281.84;tied_agend;none;0;1
287;0;42;2;1;0;0;287.42;287.42;tied_agend;none;0;0
288;0;57;1;1;0;0;153.28;1517.5;tied_agend;none;1;1
289;0;59;5;1;0;1;1223.94;1223.94;tied_agend;none;1;1
290;0;55;1;0;1;0;334.04;334.04;tied_agend;none;0;1
291;0;54;1;1;0;0;30.96;30.96;tied_agend;none;0;1
292;0;55;1;0;1;0;2179.51;4363.51;other;none;0;0
293;0;43;1;1;0;0;120.92;120.92;bank;none;1;1
294;0;35;2;1;1;0;610.13;1876.21;multiple;none;0;1
295;0;48;2;1;0;0;667.15;675.22;tied_agend;none;0;1
296;0;58;2;0;1;1;2668.97;2668.97;tied_agend;none;1;0
297;1;56;1;1;0;0;859;2210.95;tied_agend;none;1;1
298;0;58;6;1;1;0;2973.54;3768.55;tied_agend;none;1;1
299;1;48;1;1;0;0;413.51;1673.05;tied_agend;none;1;0
300;0;54;2;1;0;0;739.76;930;multiple;none;0;1
301;0;44;4;1;1;1;1658.88;2396.05;tied_agend;none;0;0
302;1;62;1;1;0;0;152.12;152.12;bank;none;0;1
303;0;65;1;1;0;0;243.55;243.55;tied_agend;none;0;1
304;0;66;1;1;0;0;126.52;126.52;bank;p;0;1
305;1;40;1;1;0;0;1887.37;1887.37;tied_agend;p;0;1
306;0;40;1;1;0;0;85.89;85.89;broker;none;0;1
307;0;67;1;1;0;0;369.96;369.96;other;none;0;0
308;1;44;5;1;1;1;2810.23;2810.23;broker;none;0;0
309;1;45;5;1;0;1;1542.05;1542.05;tied_agend;none;0;1
310;0;36;4;1;0;0;1422.9;1422.9;tied_agend;none;0;0
311;0;43;2;0;1;1;1636.68;2747.7;tied_agend;none;0;1
312;0;56;1;0;1;0;1210.47;3653.52;other;none;0;1
313;0;44;1;0;1;0;776.08;1438.51;tied_agend;none;0;1
314;1;43;1;1;0;0;2.47;2.47;tied_agend;none;1;1
315;0;50;1;1;0;0;8.1;8.1;tied_agend;none;0;0
316;0;36;1;0;0;1;345.69;345.69;bank;none;1;0
317;1;56;5;1;0;1;916.37;916.37;tied_agend;none;0;1
318;1;34;1;1;0;0;217.66;217.66;tied_agend;none;1;0
319;1;57;7;1;0;0;4679.8;4679.8;tied_agend;p;0;1
320;0;67;4;1;1;0;1091.7;1091.7;tied_agend;none;0;0
321;0;67;6;1;1;0;1703.15;1703.15;tied_agend;none;0;1
322;0;52;2;1;1;0;3404.71;3404.71;tied_agend;none;0;0
323;0;38;1;1;0;0;264.79;264.79;tied_agend;none;0;1
324;0;44;1;0;0;1;66.01;2828.26;tied_agend;none;0;0
325;0;47;1;0;1;0;1513.01;2289.76;other;none;0;0
326;0;37;1;0;1;0;73.41;73.41;bank;lh;1;0
327;0;55;5;1;0;0;747.22;747.22;tied_agend;none;0;1
328;0;45;1;0;1;0;10963.18;10963.18;other;none;1;1
329;1;58;5;1;0;1;1665.66;2235.4;tied_agend;none;0;1
330;0;48;1;0;1;0;862.35;862.35;broker;none;0;0
331;0;34;1;0;1;0;1379.45;1379.45;tied_agend;none;0;1
332;0;54;1;0;0;1;24.45;24.45;tied_agend;none;0;0
333;0;62;4;1;0;0;1203.19;1203.19;tied_agend;none;0;1
334;1;50;3;1;1;0;1772.89;1772.89;tied_agend;none;0;1
335;0;34;1;1;0;0;726.18;726.18;other;none;0;1
336;0;69;6;1;0;1;992.59;2541.06;multiple;p;1;1
337;0;49;1;1;0;0;453.96;453.96;other;p;1;1
338;0;40;2;1;0;0;313.3;920.87;tied_agend;none;0;1
339;0;44;1;1;0;0;458.28;458.28;tied_agend;none;0;0
340;1;65;3;1;0;0;715.1;715.1;tied_agend;none;0;1
341;0;67;1;0;0;1;114.55;114.55;tied_agend;none;0;0
342;0;61;1;1;0;0;322.94;2913;tied_agend;none;1;0
343;1;42;3;1;0;1;485.76;15244.2;broker;none;0;0
344;0;59;1;1;0;0;114.64;114.64;tied_agend;none;0;1
345;1;41;6;1;1;1;2949.82;4835.34;tied_agend;p+;0;1
346;0;51;1;0;1;0;72.03;72.03;bank;none;0;1
347;1;69;7;1;0;1;8574.43;8574.43;multiple;none;0;1
348;0;34;1;1;0;0;871.43;871.43;tied_agend;none;0;0
349;0;65;1;1;0;0;196.35;196.35;tied_agend;none;0;0
350;1;54;1;0;1;0;1841.31;2882.41;tied_agend;none;1;0
351;1;42;7;1;1;1;2181.14;2181.14;tied_agend;none;0;1
352;0;46;2;0;1;1;1268.78;5422.55;tied_agend;none;0;1
353;0;48;1;0;1;0;1472.53;1472.53;tied_agend;none;0;1
354;0;33;2;1;1;0;1503.21;1503.21;tied_agend;none;1;1
355;0;66;5;1;0;1;9484.99;13373.71;multiple;none;0;1
356;0;50;2;1;0;0;288.15;288.15;tied_agend;none;0;1
357;1;50;6;1;1;1;3112.54;3112.54;tied_agend;none;0;1
358;0;55;1;0;0;1;1311.57;1311.57;other;none;0;1
359;0;48;4;1;0;0;1231.71;2809.22;tied_agend;p;0;1
360;0;40;1;0;0;1;79.88;79.88;tied_agend;none;0;0
361;1;50;2;1;0;0;596.07;596.07;tied_agend;p;1;1
362;0;40;3;0;1;0;5751.06;5751.06;broker;none;1;0
363;0;69;1;1;0;0;526.11;3164.97;tied_agend;none;0;0
364;1;39;1;1;0;0;2267.73;2267.73;tied_agend;p;0;1
365;0;51;9;1;1;1;7461.52;12644.07;tied_agend;none;0;1
366;0;56;1;0;0;1;162.73;162.73;bank;none;0;0
367;0;60;1;0;1;0;4.93;4.93;tied_agend;lh;1;0
368;0;47;4;1;1;0;1149.58;1149.58;tied_agend;none;1;1
369;0;66;1;0;1;0;284.03;1581.35;tied_agend;none;0;0
370;0;57;1;1;0;0;171.23;902.7;tied_agend;none;1;1
371;0;30;4;1;0;0;523.67;523.67;multiple;none;0;0
372;1;65;1;1;0;0;144.36;144.36;tied_agend;none;0;1
373;0;46;6;1;1;0;2411.45;2838.69;tied_agend;none;1;1
374;0;36;1;0;1;0;4779.95;4779.95;tied_agend;none;0;1
375;0;59;3;1;0;0;854.36;854.36;tied_agend;none;0;1
376;0;33;1;1;0;0;598.9;598.9;other;none;0;1
377;0;37;1;1;0;0;1210.79;1210.79;broker;none;0;0
378;1;65;3;1;0;0;776.24;776.24;tied_agend;p;1;1
379;0;36;1;0;1;0;1160.74;1160.74;tied_agend;none;0;0
380;0;51;3;1;0;0;377.47;377.47;tied_agend;none;0;0
381;0;67;4;1;0;0;592.71;592.71;tied_agend;none;0;1
382;1;47;2;1;1;0;1354.39;2142.17;tied_agend;none;0;1
383;1;54;4;1;1;0;2688.15;2688.15;tied_agend;none;0;1
384;1;45;6;1;0;0;2626.79;2703.73;tied_agend;none;1;1
385;0;47;6;1;0;0;3454.69;3645.33;tied_agend;p;0;1
386;1;64;1;1;0;0;138.06;138.06;tied_agend;none;0;1
387;0;53;1;0;0;1;1.56;1.56;tied_agend;none;0;0
388;0;53;1;0;1;0;60.55;60.55;tied_agend;none;0;0
389;0;68;1;1;0;0;323.88;1411.88;tied_agend;none;1;0
390;0;58;1;0;0;1;46.67;46.67;tied_agend;none;0;1
391;0;56;1;0;0;1;2.98;2.98;tied_agend;none;1;1
392;1;42;3;0;1;1;6088.81;6088.81;tied_agend;none;0;1
393;1;32;3;1;1;1;1304.51;1304.51;multiple;none;0;1
394;1;57;1;1;0;0;480.86;480.86;tied_agend;none;0;1
395;0;62;3;1;0;0;2361.93;2361.93;tied_agend;none;0;0
396;0;41;1;0;1;0;356.73;5673.14;tied_agend;none;0;0
397;1;51;4;1;1;0;1168.66;3576.19;tied_agend;none;0;1
398;0;43;5;1;1;1;3725.13;3725.13;tied_agend;none;0;1
399;0;48;1;0;0;1;802.5;802.5;bank;none;0;0
400;1;56;3;1;0;0;1268.06;1268.06;tied_agend;p;1;1
401;0;31;2;1;0;0;160.94;160.94;tied_agend;none;0;0
402;0;53;4;1;1;0;3099.87;3099.87;multiple;none;0;0
403;1;40;4;1;0;0;2114.01;3123.44;tied_agend;none;0;1
404;1;31;1;1;0;0;1169.83;1169.83;tied_agend;none;1;1
405;1;58;1;1;0;0;688.83;688.83;tied_agend;none;0;1
406;1;50;3;1;0;0;1105.21;1105.21;tied_agend;none;1;1
407;0;33;1;1;0;0;91.23;91.23;tied_agend;none;0;0
408;1;47;1;1;0;0;1300.37;1300.37;other;p;0;1
